100.0;-1.0;-1.0;-1.0;-50.0;-1.0;-20.0;-5.0;-1.0;-1.0;-1.0;-10.0;-1.0;-10.0;-1.0;-1.0;-1.0;-5.0;-20.0;-1.0;-50.0;-1.0;-1.0;-1.0;100.0;
100.0;54.242;30.032;11.592;-50.0;56.123;21.847;16.967;8.156;-1.0;31.05;10.31;9.634;-5.327;-1.0;12.197;6.945;0.019;-20.0;56.123;-50.0;-1.0;-1.0;54.242;100.0;
100.0;71.069;48.695;25.737;-50.0;74.749;39.716;33.55;20.323;5.825;51.777;27.016;23.752;4.696;33.181;27.908;20.476;11.084;24.894;75.262;-50.0;1.065;33.421;72.008;100.0;
100.0;78.12;59.415;35.914;-50.0;82.258;48.687;44.296;30.374;19.238;63.551;38.975;34.591;21.768;54.335;39.352;31.146;27.487;42.551;82.893;-50.0;20.174;52.521;79.153;100.0;
100.0;81.656;65.712;42.652;-50.0;85.799;53.736;51.104;39.793;34.074;70.302;46.67;43.473;38.67;66.199;46.684;40.684;42.954;51.511;86.466;-50.0;35.3;63.216;82.694;100.0;
100.0;83.629;69.522;47.448;-50.0;87.668;56.714;55.769;47.854;44.856;74.237;52.07;50.517;48.898;72.75;51.418;47.858;52.489;56.278;88.294;-50.0;44.571;69.184;84.579;100.0;
100.0;84.791;71.988;50.983;-50.0;88.722;58.609;59.104;53.278;51.419;76.645;55.807;55.195;54.798;76.367;54.496;52.548;57.905;58.88;89.272;-50.0;49.962;72.5;85.609;100.0;
100.0;85.526;73.679;53.412;-50.0;89.357;59.871;61.359;56.675;55.204;78.174;58.231;58.135;58.168;78.372;56.478;55.463;60.97;60.322;89.806;-50.0;53.043;74.353;86.18;100.0;
100.0;86.016;74.824;55.005;-50.0;89.759;60.705;62.832;58.75;57.349;79.152;59.763;59.95;60.092;79.489;57.739;58.016;62.788;61.138;90.104;-50.0;54.954;75.424;86.504;100.0;
100.0;86.343;75.581;56.023;-50.0;90.018;61.248;63.774;60.004;58.562;79.776;60.872;61.099;61.199;80.117;58.613;59.592;63.856;61.604;90.271;-50.0;56.092;76.047;86.69;100.0;
100.0;86.558;76.071;56.663;-50.0;90.185;61.612;64.375;60.763;59.25;80.194;61.583;61.812;61.839;80.472;59.19;60.537;64.482;61.873;90.366;-50.0;56.761;76.409;86.798;100.0;
100.0;86.699;76.386;57.064;-50.0;90.295;61.848;64.754;61.223;59.643;80.471;62.028;62.251;62.211;80.674;59.562;61.1;64.85;62.029;90.42;-50.0;57.154;76.621;86.86;100.0;
100.0;86.791;76.587;57.314;-50.0;90.368;61.998;64.992;61.502;59.869;80.649;62.304;62.521;62.428;80.79;59.798;61.435;65.066;62.12;90.451;-50.0;57.385;76.745;86.897;100.0;
100.0;86.85;76.714;57.469;-50.0;90.415;62.094;65.141;61.671;59.999;80.763;62.474;62.685;62.556;80.858;59.945;61.635;65.194;62.173;90.469;-50.0;57.521;76.817;86.918;100.0;
